TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,AccountHolderName,Gender,DOB,Account_Opening_Date,Age,TransactionCount,Status,MerchantType
TX001313,AC00001,47.79,2010-01-01,Debit,"Wardha , Maharashtra",D000649,59.12.96.11,Branch,25,Farmer,37,1,1649.92,2024-11-04 08:11:55,Meika,Female,1979-08-09,2009-09-28,45,,,Crop/Seed seller
TX002017,AC00001,212.97,2011-01-01,Debit,"Dhule , Maharashtra",D000492,45.241.13.208,Online,59,Labour,178,1,4180.4,2024-11-04 08:10:42,Dimita,Female,1979-04-15,2009-03-26,46,,,Migration Help
TX002121,AC00002,476.99,2010-01-01,Debit,"Buldhana , Maharashtra",D000594,113.137.153.101,Online,23,Farmer,187,1,1154.48,2024-11-04 08:10:10,Raika,Female,1983-09-15,2009-06-29,41,,,Crop/Seed seller
TX000021,AC00002,59.32,2011-01-01,Debit,"Washim , Maharashtra",D000152,116.44.12.250,Branch,71,Retired,38,1,5750.89,2024-11-04 08:09:24,Vishree,Female,1957-12-07,2009-11-28,67,,,Kirana
TX001477,AC00002,12.62,2012-01-01,Debit,"Dhule , Maharashtra",D000475,93.160.83.196,Branch,33,Farmer,61,1,6420.47,2024-11-04 08:09:03,Adveer,Male,1962-12-23,2009-01-09,62,,,Crop/Seed seller
TX000062,AC00002,263.99,2012-12-31,Debit,"Washim , Maharashtra",D000285,7.146.35.122,Branch,79,Retired,227,2,4175.02,2024-11-04 08:11:03,Balata,Female,1975-04-08,2009-01-11,50,,,Kirana
TX001599,AC00002,395.16,2013-12-31,Debit,"Gadchiroli , Maharashtra",D000269,165.38.56.205,Online,56,Labour,17,1,5340.73,2024-11-04 08:11:15,Divani,Female,1976-08-14,2009-11-15,48,,,Migration Help
TX001674,AC00002,331.66,2014-12-31,Debit,"Dhule , Maharashtra",D000041,1.198.76.182,ATM,76,Retired,145,1,7216.3,2024-11-04 08:08:23,Viram,Male,1976-03-24,2009-06-30,49,,,Kirana
TX001029,AC00002,516.47,2015-12-31,Credit,"Melghat , Maharashtra",D000420,59.132.247.252,ATM,25,Labour,94,1,1305.06,2024-11-04 08:09:51,Meesha,Female,1990-04-14,2009-04-14,35,,,Migration Help
TX002326,AC00003,20.17,2010-01-01,Debit,"Yavatmal, Maharashtra",D000287,221.23.158.87,ATM,77,Retired,86,1,3869.37,2024-11-04 08:08:39,Modeep,Male,1949-09-07,2009-08-02,75,,,Kirana
TX001841,AC00003,237.97,2011-01-01,Debit,"Yavatmal, Maharashtra",D000498,170.154.69.105,ATM,69,Retired,69,1,13486.15,2024-11-04 08:06:37,Vilata,Female,1959-01-21,2009-10-10,66,,,Kirana
TX002363,AC00003,416.62,2012-01-01,Credit,"Dhule , Maharashtra",D000495,161.195.172.148,Online,26,Farmer,67,1,9700.9,2024-11-04 08:11:23,Anlata,Female,2001-07-20,2009-05-05,23,,,Crop/Seed seller
TX001904,AC00003,384.11,2012-12-31,Debit,"Yavatmal, Maharashtra",D000290,194.88.79.54,ATM,58,Labour,12,1,7902.52,2024-11-04 08:06:36,Rodeep,Male,1974-04-14,2009-08-20,51,,,Migration Help
TX002248,AC00003,207.47,2013-12-31,Debit,"Gadchiroli , Maharashtra",D000643,147.234.20.46,ATM,53,Farmer,12,1,1688.9,2024-11-04 08:07:01,Dinita,Female,1975-01-05,2009-08-26,50,,,Crop/Seed seller
TX001851,AC00004,13.16,2010-01-01,Debit,"Washim , Maharashtra",D000098,161.177.41.214,Branch,43,Farmer,98,1,1019.46,2024-11-04 08:10:30,Bamita,Female,1949-01-08,2009-06-12,76,,,Crop/Seed seller
TX000707,AC00004,642.54,2011-01-01,Debit,"Yavatmal, Maharashtra",D000663,166.79.195.157,Branch,44,Farmer,28,1,3143.17,2024-11-04 08:10:37,Lajit,Male,1982-08-20,2009-03-30,42,,,Crop/Seed seller
TX001648,AC00004,99.25,2012-01-01,Credit,"Washim , Maharashtra",D000524,17.87.7.140,Online,63,Retired,93,1,2570.34,2024-11-04 08:07:33,Adram,Male,1966-04-25,2009-11-30,59,,,Kirana
TX000223,AC00004,547.87,2012-12-31,Debit,"Gadchiroli , Maharashtra",D000183,188.205.152.176,ATM,64,Retired,131,1,6155.76,2024-11-04 08:10:31,Dekar,Male,2003-07-02,2009-01-11,22,,,Kirana
TX002442,AC00004,61.62,2013-12-31,Debit,"Buldhana , Maharashtra",D000134,93.218.115.132,Online,57,Labour,19,1,8365.37,2024-11-04 08:12:02,Annita,Female,1964-11-27,2009-07-10,60,,,Migration Help
TX002391,AC00004,136.31,2014-12-31,Debit,"Wardha , Maharashtra",D000405,6.234.101.35,Online,74,Retired,65,1,4384.95,2024-11-04 08:08:41,Melata,Female,1994-06-22,2009-02-10,31,,,Kirana
TX001820,AC00004,365.43,2015-12-31,Debit,"Yavatmal, Maharashtra",D000146,136.172.149.77,ATM,25,Labour,176,1,1073.51,2024-11-04 08:09:24,Kapriya,Female,1989-11-24,2009-08-22,35,,,Migration Help
TX002328,AC00004,273.24,2016-12-30,Debit,"Wardha , Maharashtra",D000626,211.45.75.44,Branch,51,Farmer,173,1,2202.21,2024-11-04 08:10:05,Moram,Male,1974-09-12,2009-02-10,50,,,Crop/Seed seller
TX000245,AC00004,40.66,2017-12-30,Debit,"Washim , Maharashtra",D000214,148.25.159.90,Branch,59,Farmer,156,1,1153.84,2024-11-04 08:11:28,Anesha,Female,1991-09-01,2009-05-05,33,,,Crop/Seed seller
TX000077,AC00007,162.63,2010-01-01,Debit,"Parbhani , Maharashtra",D000070,60.153.124.80,Online,22,Farmer,113,1,634.17,2024-11-04 08:08:22,Adveer,Male,1965-04-11,2009-06-29,60,,,Crop/Seed seller
TX000839,AC00007,637.75,2011-01-01,Debit,"Dhule , Maharashtra",D000561,184.57.159.204,Branch,79,Retired,152,1,4202.92,2024-11-04 08:08:51,Shpal,Male,1973-12-10,2009-04-19,51,,,Kirana
TX000977,AC00007,466.64,2012-01-01,Debit,"Yavatmal, Maharashtra",D000327,131.41.45.13,ATM,58,Farmer,11,1,10915.11,2024-11-04 08:09:20,Anesha,Female,1995-02-07,2009-07-08,30,,,Crop/Seed seller
TX001336,AC00007,90.88,2012-12-31,Debit,"Nandurbar , Maharashtra",D000086,175.210.47.87,ATM,26,Farmer,284,1,7117.35,2024-11-04 08:10:50,Lamita,Female,1987-01-19,2009-05-03,38,,,Crop/Seed seller
TX001579,AC00007,137.48,2013-12-31,Debit,"Melghat , Maharashtra",D000206,66.255.7.16,Branch,55,Farmer,47,1,14273.42,2024-11-04 08:08:46,Kanita,Female,1970-02-12,2009-05-02,55,,,Crop/Seed seller
TX002005,AC00008,76.16,2010-01-01,Debit,"Melghat , Maharashtra",D000539,100.128.70.210,ATM,23,Labour,99,1,1072.25,2024-11-04 08:12:04,Meika,Female,1948-04-21,2009-08-01,77,,,Migration Help
TX002512,AC00009,243.08,2010-01-01,Credit,"Gadchiroli , Maharashtra",D000215,59.127.135.25,Online,24,Farmer,93,1,131.25,2024-11-04 08:07:49,Suvani,Female,1963-12-03,2009-09-22,61,,,Crop/Seed seller
TX002048,AC00009,425.18,2011-01-01,Credit,"Yavatmal, Maharashtra",D000270,27.93.195.98,Online,59,Labour,135,1,5790.55,2024-11-04 08:11:26,Moika,Female,1941-04-02,2009-09-07,84,,,Migration Help
TX000868,AC00009,87.38,2012-01-01,Debit,"Buldhana , Maharashtra",D000356,3.200.166.167,Branch,21,Labour,252,1,1504.99,2024-11-04 08:09:45,Vikshi,Female,1982-01-03,2009-08-07,43,,,Migration Help
TX000840,AC00009,153.59,2012-12-31,Credit,"Melghat , Maharashtra",D000270,204.120.80.105,Branch,66,Retired,174,1,4813.12,2024-11-04 08:09:43,Ramita,Female,1941-10-20,2009-03-12,83,,,Kirana
TX000279,AC00009,74.85,2013-12-31,Debit,"Washim , Maharashtra",D000526,191.82.103.198,ATM,72,Retired,117,1,2409.73,2024-11-04 08:11:49,Anlata,Female,1967-04-13,2009-08-22,58,,,Kirana
TX002367,AC00010,281.91,2010-01-01,Debit,"Melghat , Maharashtra",D000312,24.148.92.177,Branch,25,Farmer,269,1,225.53,2024-11-04 08:07:24,Anesha,Female,1980-02-22,2009-06-04,45,,,Crop/Seed seller
TX001737,AC00010,7.56,2011-01-01,Debit,"Nandurbar , Maharashtra",D000358,205.45.234.42,ATM,40,Labour,145,1,8528.72,2024-11-04 08:07:19,Melata,Female,1964-02-14,2009-08-22,61,,,Migration Help
TX001760,AC00010,1086.6,2012-01-01,Debit,"Gadchiroli , Maharashtra",D000428,74.58.165.67,Online,19,Labour,38,1,1605.67,2024-11-04 08:10:48,Sukshi,Female,1986-03-11,2009-08-24,39,,,Migration Help
TX001168,AC00010,838.57,2012-12-31,Debit,"Parbhani , Maharashtra",D000430,115.30.82.168,ATM,41,Labour,273,1,14576.47,2024-11-04 08:11:25,Raram,Male,1985-05-18,2009-05-31,40,,,Migration Help
TX000096,AC00010,508.68,2013-12-31,Credit,"Yavatmal, Maharashtra",D000622,193.108.17.115,Branch,51,Farmer,127,1,7708.41,2024-11-04 08:09:32,Laveer,Male,1940-11-26,2009-08-31,84,,,Crop/Seed seller
